Date,Open,High,Low,Close,Adjusted_close,Volume
1980-12-12,28.75,28.87,28.75,28.75,0.4212,117258517
1980-12-15,27.38,27.38,27.25,27.25,0.3992,43971243
1980-12-16,25.37,25.37,25.25,25.25,0.3699,26432026
1980-12-17,25.87,26,25.87,25.87,0.379,21610421
1980-12-18,26.63,26.75,26.63,26.63,0.3901,18362418
1980-12-19,28.25,28.38,28.25,28.25,0.4139,12157612
1980-12-22,29.63,29.75,29.63,29.63,0.4341,9340809
1980-12-23,30.88,31,30.88,30.88,0.4524,11737611
1980-12-24,32.5,32.63,32.5,32.5,0.4761,12000812
1980-12-26,35.5,35.62,35.5,35.5,0.5201,13893613
1980-12-29,36,36.13,36,36,0.5274,23290423
1980-12-30,35.25,35.25,35.12,35.12,0.5145,17220017
1980-12-31,34.25,34.25,34.13,34.13,0.5,8937608
1981-01-02,34.5,34.75,34.5,34.5,0.5054,5415205
1981-01-05,33.87,33.87,33.75,33.75,0.4944,8932008
1981-01-06,32.37,32.37,32.25,32.25,0.4725,11289611
1981-01-07,31,31,30.88,30.88,0.4524,13921613
1981-01-08,30.37,30.37,30.25,30.25,0.4432,9956809
1981-01-09,31.88,32,31.88,31.88,0.467,5376005
1981-01-12,31.88,31.88,31.62,31.62,0.4632,5924805
1981-01-13,30.63,30.63,30.5,30.5,0.4468,5762405
1981-01-14,30.63,30.75,30.63,30.63,0.4487,3572803
1981-01-15,31.25,31.5,31.25,31.25,0.4578,3516803
1981-01-16,31.12,31.12,31,31,0.4541,3348803
1981-01-19,32.87,33,32.87,32.87,0.4815,10393610
1981-01-20,32,32,31.88,31.88,0.467,7520807
1981-01-21,32.5,32.75,32.5,32.5,0.4761,3976003
1981-01-22,32.87,33.13,32.87,32.87,0.4815,8887208
1981-01-23,32.87,33,32.75,32.75,0.4798,2805602
1981-01-26,32.37,32.37,32.25,32.25,0.4725,6160006
1981-01-27,32.25,32.25,32,32,0.4688,5924805
1981-01-28,31.12,31.12,31,31,0.4541,7039207
1981-01-29,30,30,29.87,29.87,0.4376,10976010
1981-01-30,28.5,28.5,28.25,28.25,0.4139,11547211
1981-02-02,26.75,26.75,26.63,26.63,0.3901,5941605
1981-02-03,27.62,27.75,27.62,27.62,0.4046,4788004
1981-02-04,28.62,28.75,28.62,28.62,0.4193,6966406
1981-02-05,28.62,28.87,28.62,28.62,0.4193,1982401
1981-02-06,28.75,28.87,28.75,28.75,0.4212,3466403
1981-02-09,27.5,27.5,27.25,27.25,0.3992,4188804
1981-02-10,27.25,27.38,27.25,27.25,0.3992,4586404
1981-02-11,26.5,26.5,26.37,26.37,0.3863,3460803
1981-02-12,26.25,26.25,26.13,26.13,0.3828,3640003
1981-02-13,25.75,25.75,25.5,25.5,0.3736,2788802
1981-02-17,26.13,26.25,26.13,26.13,0.3828,3068803
1981-02-18,27.25,27.5,27.25,27.25,0.3992,4810404
1981-02-19,25.75,25.75,25.63,25.63,0.3755,5577605
1981-02-20,24.38,24.38,24.25,24.25,0.3553,6092806
1981-02-23,24.62,24.75,24.62,24.62,0.3607,3528003
1981-02-24,24,24,23.75,23.75,0.3479,4244804
1981-02-25,25.25,25.37,25.25,25.25,0.3699,4872004
1981-02-26,25.63,25.75,25.63,25.63,0.3755,2710402
1981-02-27,26.5,26.75,26.5,26.5,0.3882,3690403
1981-03-02,26.63,26.75,26.63,26.63,0.3901,2940002
1981-03-03,26.37,26.37,26.25,26.25,0.3846,4043204
1981-03-04,26.13,26.13,26,26,0.3809,3427203
1981-03-05,26,26,25.87,25.87,0.379,1344001
1981-03-06,25.87,25.87,25.63,25.63,0.3755,2900802
1981-03-09,23.75,23.75,23.63,23.63,0.3462,3830403
1981-03-10,22.63,22.63,22.5,22.5,0.3296,7095207
1981-03-11,21.87,21.87,21.62,21.62,0.3167,7464807
1981-03-12,22.5,22.63,22.5,22.5,0.3296,14812014
1981-03-13,22.37,22.37,22.25,22.25,0.326,57825657
1981-03-16,23.13,23.37,23.13,23.13,0.3389,9307209
1981-03-17,24.25,24.5,24.25,24.25,0.3553,10936810
1981-03-18,25.75,26,25.75,25.75,0.3772,9234409
1981-03-19,25.63,25.63,25.5,25.5,0.3736,9452809
1981-03-20,25.75,26,25.75,25.75,0.3772,3651203
1981-03-23,26.75,27,26.75,26.75,0.3919,5504805
1981-03-24,26.75,26.75,26.63,26.63,0.3901,7039207
1981-03-25,26.37,26.37,26.13,26.13,0.3828,1764001
1981-03-26,25.75,25.75,25.63,25.63,0.3755,3068803
1981-03-27,24.88,24.88,24.75,24.75,0.3626,3063203
1981-03-30,24.75,25,24.75,24.75,0.3626,2475202
1981-03-31,24.75,24.75,24.5,24.5,0.3589,3998403
1981-04-01,24.38,24.38,24.25,24.25,0.3553,8517608
1981-04-02,26.37,26.5,26.37,26.37,0.3863,7851207
1981-04-03,26.5,26.63,26.5,26.5,0.3882,4121604
1981-04-06,26.13,26.13,26,26,0.3809,5700805
1981-04-07,25.87,25.87,25.75,25.75,0.3772,2671202
1981-04-08,27,27.25,27,27,0.3955,5488005
1981-04-09,27.5,27.62,27.5,27.5,0.4029,3124803
1981-04-10,27.88,28,27.88,27.88,0.4084,8366408
1981-04-13,27.88,28,27.88,27.88,0.4084,4015204
1981-04-14,27.88,28,27.88,27.88,0.4084,1663201
1981-04-15,26.63,26.63,26.5,26.5,0.3882,8512008
1981-04-16,25.12,25.12,25,25,0.3662,5969605
1981-04-20,25.75,25.87,25.75,25.75,0.3772,8836808
1981-04-21,27.5,27.62,27.5,27.5,0.4029,7134407
1981-04-22,28.5,28.62,28.5,28.5,0.4175,4748804
1981-04-23,29.25,29.37,29.25,29.25,0.4285,14504014
1981-04-24,29.25,29.25,29,29,0.4248,8764008
1981-04-27,28.87,28.87,28.75,28.75,0.4212,9632009
1981-04-28,28.38,28.38,28.25,28.25,0.4139,8047208
1981-04-29,28,28,27.88,27.88,0.4084,3410403
1981-04-30,28.38,28.62,28.38,28.38,0.4158,3152803
1981-05-01,28.38,28.62,28.38,28.38,0.4158,4138404
1981-05-04,28.38,28.38,28.25,28.25,0.4139,3612003
1981-05-05,28.25,28.25,28.12,28.12,0.412,4384804
1981-05-06,27.5,27.5,27.38,27.38,0.4011,4737604
1981-05-07,27.75,27.88,27.75,27.75,0.4065,2340802
1981-05-08,28,28.12,28,28,0.4102,1976801
1981-05-11,27.5,27.5,27.38,27.38,0.4011,2984802
1981-05-12,27.38,27.75,27.38,27.38,0.4011,1064001
1981-05-13,27.38,27.62,27.25,27.25,0.3992,1226401
1981-05-14,27.13,27.13,26.87,26.87,0.3936,1232001
1981-05-15,27.5,27.88,27.5,27.5,0.4029,1226401
1981-05-18,28,28.25,28,28,0.4102,1041601
1981-05-19,27.62,27.62,27.5,27.5,0.4029,6356006
1981-05-20,28.38,28.62,28.38,28.38,0.4158,3320803
1981-05-21,30,30.13,30,30,0.4395,8052808
1981-05-22,31.38,31.62,31.38,31.38,0.4597,7856807
1981-05-26,31.38,31.38,31.25,31.25,0.4578,21336021
1981-05-27,33,33.13,33,33,0.4834,37374437
1981-05-28,33,33.13,33,33,0.4834,18496818
1981-05-29,33.13,33.25,33.13,33.13,0.4854,14845614
1981-06-01,33.13,33.25,33.13,33.13,0.4854,12812812
1981-06-02,31.62,31.62,31.5,31.5,0.4615,10108010
1981-06-03,31.5,31.75,31.5,31.5,0.4615,9861609
1981-06-04,32.12,32.25,32.12,32.12,0.4706,14016814
1981-06-05,31.75,31.75,31.62,31.62,0.4632,14420014
1981-06-08,30.63,30.63,30.5,30.5,0.4468,23374423
1981-06-09,31.12,31.25,31.12,31.12,0.4559,29898429
